question;relation
what kind of music does faye adams play;http://dbpedia.org/ontology/genre
whats salem's time zone;http://dbpedia.org/ontology/timeZone
Name a German pop rock album from 2000.;http://dbpedia.org/ontology/genre
Where did marc armand ruffer pass away;http://dbpedia.org/ontology/deathPlace
who was born in napoleonville, lousiana?;http://dbpedia.org/ontology/birthPlace
where did lewis sargent die?;http://dbpedia.org/ontology/deathPlace
which actor was born in washington, d.c.?;http://dbpedia.org/ontology/birthPlace
what is stephen h. weeds death place;http://dbpedia.org/ontology/deathPlace
what games are in the cvg genre science fiction?;http://dbpedia.org/ontology/genre
what style of music is catch me?;http://dbpedia.org/ontology/genre
Who's an australian band that plays rhythm and blues;http://dbpedia.org/ontology/genre
Which city was charles laberge born in?;http://dbpedia.org/ontology/birthPlace
what genre does katie reider perform in;http://dbpedia.org/ontology/genre
who is the artist that makes hip hop soul music;http://dbpedia.org/ontology/genre
who plays rock music;http://dbpedia.org/ontology/genre
What genre of music does therealdjrap make?;http://dbpedia.org/ontology/genre
what known person was born in  scotland;http://dbpedia.org/ontology/birthPlace
Where did bill alley die?;http://dbpedia.org/ontology/deathPlace
what is the cvg genre of deadly creatures?;http://dbpedia.org/ontology/genre
Who was born in atteridgeville?;http://dbpedia.org/ontology/birthPlace
what law and order episode did blake masters write;http://dbpedia.org/ontology/writer
What genre of music does tony mcguinness make?;http://dbpedia.org/ontology/genre
what is the name of a song written by joe tex?;http://dbpedia.org/ontology/writer
what type of music is chrishelmesolo?;http://dbpedia.org/ontology/genre
what is a rock and roll album;http://dbpedia.org/ontology/genre
Where is thomas veazey from?;http://dbpedia.org/ontology/birthPlace
what album is a type of pop music?;http://dbpedia.org/ontology/genre
which program is in the genre talk show;http://dbpedia.org/ontology/genre
what artist makes dance music?;http://dbpedia.org/ontology/genre
Name a person born in baku.;http://dbpedia.org/ontology/birthPlace
Name someone born in the russian empire;http://dbpedia.org/ontology/birthPlace
What type of genre is in east-berlin?;http://dbpedia.org/ontology/genre
Who was a notable figure born in lisbon;http://dbpedia.org/ontology/birthPlace
Where was diem lien birthed?;http://dbpedia.org/ontology/birthPlace
what style of music does stompin tom connors belong to?;http://dbpedia.org/ontology/genre
what albums is a type of punk rock?;http://dbpedia.org/ontology/genre
which city is lefty hoerst from;http://dbpedia.org/ontology/birthPlace
what type of music is played in lenka;http://dbpedia.org/ontology/genre
what kind of music does magic lunchbox make;http://dbpedia.org/ontology/genre
what kind of game is fallout (computer game);http://dbpedia.org/ontology/genre
What is a minnesota city in the north american central time zone;http://dbpedia.org/ontology/timeZone
Where is prentiss-payson house located in the world;http://dbpedia.org/ontology/location
where was hannes sigfusson born;http://dbpedia.org/ontology/birthPlace
what is the place of birth of lothar spath?;http://dbpedia.org/ontology/birthPlace
what genre is the videogame kid klown in crazy chase;http://dbpedia.org/ontology/genre
What is a composition created by kaskade?;http://dbpedia.org/ontology/writer
which pakistani city was daniele mastrogiacomo born;http://dbpedia.org/ontology/birthPlace
What is kunal khemu's nationality?;http://dbpedia.org/ontology/birthPlace
Which cvg genre is dead space (video game) a part of;http://dbpedia.org/ontology/genre
who composed baby loves that way;http://dbpedia.org/ontology/writer
Who is a techno artist?;http://dbpedia.org/ontology/genre
which style of music does steve digiorgio play in?;http://dbpedia.org/ontology/genre
what music genre is whitebox;http://dbpedia.org/ontology/genre
what is the place of death of the late valentino bucchi;http://dbpedia.org/ontology/deathPlace
which country is stephen cullen carpenter from;http://dbpedia.org/ontology/birthPlace
which famous person was born in the lower east side;http://dbpedia.org/ontology/birthPlace
what type of music does sasha play?;http://dbpedia.org/ontology/genre
What is the genre of the album demons fall for an angels kiss;http://dbpedia.org/ontology/genre
where was robbie mustoe born;http://dbpedia.org/ontology/birthPlace
Who was a person born in bern?;http://dbpedia.org/ontology/birthPlace
which country did sir anthony jackson pass away in;http://dbpedia.org/ontology/deathPlace
who is an artist that makes pop music?;http://dbpedia.org/ontology/genre
what illinois city did ed sweeney die;http://dbpedia.org/ontology/deathPlace
where did laszlo magyar die;http://dbpedia.org/ontology/deathPlace
where did nigar rafibeyli die;http://dbpedia.org/ontology/deathPlace
Which city was rene cloerec in when she died;http://dbpedia.org/ontology/deathPlace
what type of music does alopecia play;http://dbpedia.org/ontology/genre
Who was a notable person that was born in belgium;http://dbpedia.org/ontology/birthPlace
What is an example of a racing game;http://dbpedia.org/ontology/genre
who wrote dirty work;http://dbpedia.org/ontology/writer
what type of music is tennis;http://dbpedia.org/ontology/genre
what is an album in pop music;http://dbpedia.org/ontology/genre
which hardcore punk artists come from south florida?;http://dbpedia.org/ontology/genre
where did richard a. gardner die?;http://dbpedia.org/ontology/deathPlace
What is the name of a blues-rock artist;http://dbpedia.org/ontology/genre
What type of music does gesaffelstein do;http://dbpedia.org/ontology/genre
Who was born in Umerkot?;http://dbpedia.org/ontology/birthPlace
What kind of music does aneta langerova make;http://dbpedia.org/ontology/genre
what kind of music does brett kull sing?;http://dbpedia.org/ontology/genre
what are strategy video games;http://dbpedia.org/ontology/genre
what type of game is zatch bell! mamodo fury;http://dbpedia.org/ontology/genre
which songs did usher write the lyrics for?;http://dbpedia.org/ontology/writer
Where did mazisi kunene die?;http://dbpedia.org/ontology/deathPlace
Who is an indie artist?;http://dbpedia.org/ontology/genre
who composed shade;http://dbpedia.org/ontology/writer
Who's a movie director born in oulu;http://dbpedia.org/ontology/birthPlace
What is the name of a psychedelic rock album;http://dbpedia.org/ontology/genre
who wrote the film 200 motels;http://dbpedia.org/ontology/writer
where in Massachusetts is bette davis from;http://dbpedia.org/ontology/birthPlace
what is the place of death of dirk stikker;http://dbpedia.org/ontology/deathPlace
what are documentary film tv programs;http://dbpedia.org/ontology/genre
what kind of music is monochrome;http://dbpedia.org/ontology/genre
what genre is true live;http://dbpedia.org/ontology/genre
what are the track listings on sherlock holmes;http://dbpedia.org/ontology/birthPlace
what genre of music is love cry categorized as;http://dbpedia.org/ontology/genre
where was the last place edward c. little lived before he died;http://dbpedia.org/ontology/deathPlace
what genre does butt trumpet compose in;http://dbpedia.org/ontology/genre
what type of video game is dune 2000?;http://dbpedia.org/ontology/genre
where on earth did david h. mcnerney die;http://dbpedia.org/ontology/deathPlace
What kind of music does elcantodelloco make;http://dbpedia.org/ontology/genre
Colin Hay composed what composition?;http://dbpedia.org/ontology/writer
What is an important opera house in la plata?;http://dbpedia.org/ontology/location
what album is dance music?;http://dbpedia.org/ontology/genre
Who was someone born in empoli;http://dbpedia.org/ontology/birthPlace
which college is in eureka;http://dbpedia.org/ontology/location
Where was john insley blair when he died;http://dbpedia.org/ontology/deathPlace
What Hungarian composer was born in oradea?;http://dbpedia.org/ontology/birthPlace
If you found yourself in new tulsa, what time zone would you be in?;http://dbpedia.org/ontology/timeZone
What genre of cvg is super mario 3d land;http://dbpedia.org/ontology/genre
what is chris babb's place of birth;http://dbpedia.org/ontology/birthPlace
what is a location in the central european time zone;http://dbpedia.org/ontology/timeZone
what are some western (genre) shows on television?;http://dbpedia.org/ontology/genre
who is a groove metal artist;http://dbpedia.org/ontology/genre
who was the creator of the song called  successful;http://dbpedia.org/ontology/writer
what genre of music does jan jamsen sing;http://dbpedia.org/ontology/genre
what is the type of music made by carroll thompson?;http://dbpedia.org/ontology/genre
where was barun de born;http://dbpedia.org/ontology/birthPlace
What county is tackley farm located in;http://dbpedia.org/ontology/location
Name a tv adventure film;http://dbpedia.org/ontology/genre
what type of show is p. s. i love you;http://dbpedia.org/ontology/genre
where on netflix would you find the title the rifleman;http://dbpedia.org/ontology/genre
What county does Alan da Silva Souza get his nationality?;http://dbpedia.org/ontology/birthPlace
what's the name of a person born in tehran;http://dbpedia.org/ontology/birthPlace
What kind of album is the ugly duckling;http://dbpedia.org/ontology/genre
who was born in keresley;http://dbpedia.org/ontology/birthPlace
what kind of music is on woodstock?;http://dbpedia.org/ontology/genre
what is the genre of jnc?;http://dbpedia.org/ontology/genre
Where did gottfried august homilius die;http://dbpedia.org/ontology/deathPlace
what kind of music is on 5 by monk by 5;http://dbpedia.org/ontology/genre
which politician was born in banda aceh?;http://dbpedia.org/ontology/birthPlace
which style of music is vcmg;http://dbpedia.org/ontology/genre
what type of music can be found on the album hell chose me;http://dbpedia.org/ontology/genre
what is the type of music on the academy;http://dbpedia.org/ontology/genre
what is the third album on folk music by John Stewart;http://dbpedia.org/ontology/genre
Name a tv program in the comedy-drama genre;http://dbpedia.org/ontology/genre
who is the composer of naked in the rain;http://dbpedia.org/ontology/writer
where did abd al-malik ibn marwan die?;http://dbpedia.org/ontology/deathPlace
what is the birthplace of bob papa;http://dbpedia.org/ontology/birthPlace
who is the director of the matrix revolutions;http://dbpedia.org/ontology/writer
who was born in bowie, maryland;http://dbpedia.org/ontology/birthPlace
what kind of video game is vietcong 2;http://dbpedia.org/ontology/genre
Who is a german football player born in gelsenkirchen;http://dbpedia.org/ontology/birthPlace
who is a person born in ferrol;http://dbpedia.org/ontology/birthPlace
what kind of music is sex pistols recognized for;http://dbpedia.org/ontology/genre
which specific genre does youth of todayplay;http://dbpedia.org/ontology/genre
what kind of music does scott gorham produce;http://dbpedia.org/ontology/genre
what is the music on crush called;http://dbpedia.org/ontology/genre
which timezone is inglewood, california in;http://dbpedia.org/ontology/timeZone
Where was king osanga's place of birth?;http://dbpedia.org/ontology/birthPlace
where was jennifer ferrin born;http://dbpedia.org/ontology/birthPlace
Name someone born in alor setar.;http://dbpedia.org/ontology/birthPlace
what genre of music is episode;http://dbpedia.org/ontology/genre
what kind of music is shimmies in super 8;http://dbpedia.org/ontology/genre
what lyrics were written by avril lavigne?;http://dbpedia.org/ontology/writer
where was erlend skomsvoll originally from;http://dbpedia.org/ontology/birthPlace
What genre of music is the album l - part one of l.o.v.e.;http://dbpedia.org/ontology/genre
what kind of music is on free touching: live in beijing at keep in touch?;http://dbpedia.org/ontology/genre
Which genre of music is no sleep 'til hammersmith?;http://dbpedia.org/ontology/genre
where did alesha dixon get her start;http://dbpedia.org/ontology/birthPlace
where was caspar david friedrich born at?;http://dbpedia.org/ontology/birthPlace
what genre is the album girl you know it's true;http://dbpedia.org/ontology/genre
Where did ivo caprino die?;http://dbpedia.org/ontology/deathPlace
Where was  born;http://dbpedia.org/ontology/birthPlace
where did ernst zermelo pass away;http://dbpedia.org/ontology/deathPlace
Who's a politician born in riom;http://dbpedia.org/ontology/birthPlace
what state was big mello born in;http://dbpedia.org/ontology/birthPlace
Where is the lake village post office located?;http://dbpedia.org/ontology/location
What kind of music is man up?;http://dbpedia.org/ontology/genre
what kinds of music is pete tong;http://dbpedia.org/ontology/genre
what artist performs punk rock?;http://dbpedia.org/ontology/genre
Where is the washington county courthouse located;http://dbpedia.org/ontology/location
what is located in the central european time zone?;http://dbpedia.org/ontology/timeZone
Who famous is born in moscow;http://dbpedia.org/ontology/birthPlace
what kinds of music is played by scott murawski;http://dbpedia.org/ontology/genre
What sport can be played in the game titled nfl fever 2002;http://dbpedia.org/ontology/genre
who wrote lyrics for mona lisa;http://dbpedia.org/ontology/writer
what is espen isaksens nationality;http://dbpedia.org/ontology/birthPlace
which nation does muqadar qazizadah come from?;http://dbpedia.org/ontology/birthPlace
Where was jim caldwell born;http://dbpedia.org/ontology/birthPlace
What type of music is on the album in the midst of beauty;http://dbpedia.org/ontology/genre
which city did robert ashley die;http://dbpedia.org/ontology/deathPlace
who is an author from new haven?;http://dbpedia.org/ontology/birthPlace
what music is composed by benny andersson;http://dbpedia.org/ontology/writer
what type of game is wing commander arena?;http://dbpedia.org/ontology/genre
what is the nationality of nikki samonte;http://dbpedia.org/ontology/birthPlace
where was o. s. nock born;http://dbpedia.org/ontology/birthPlace
what kind of music does emmylou harris make?;http://dbpedia.org/ontology/genre
what netlfix genre is the title  little britain classified as;http://dbpedia.org/ontology/genre
what california city did terry nation die in;http://dbpedia.org/ontology/deathPlace
Where was eduardo santos montejo born;http://dbpedia.org/ontology/birthPlace
what genre music is loyal to the game?;http://dbpedia.org/ontology/genre
Name a location in the north american central time zone.;http://dbpedia.org/ontology/timeZone
where did n. b. willey die;http://dbpedia.org/ontology/deathPlace
Where was william holmes  born;http://dbpedia.org/ontology/birthPlace
What nation is al helfer from;http://dbpedia.org/ontology/birthPlace
what time zones is used in garden city township;http://dbpedia.org/ontology/timeZone
ryan ten doeschate is a cricket player from what country?;http://dbpedia.org/ontology/birthPlace
what kind of metal does the triumph of steel fall under;http://dbpedia.org/ontology/genre
What country is melissa mendez is a citizen of?;http://dbpedia.org/ontology/birthPlace
what musical genre is de libertad y amor considered;http://dbpedia.org/ontology/genre
Where in saitama was yuji nakazawa born;http://dbpedia.org/ontology/birthPlace
What are some lyrics that were written by ricky nelson;http://dbpedia.org/ontology/writer
Which Malaysian pop music star has over 200 awards?;http://dbpedia.org/ontology/genre
what city is gulf coast high school found in;http://dbpedia.org/ontology/location
Name a punk rock artist.;http://dbpedia.org/ontology/genre
which city was gerold schwarzenbach born in;http://dbpedia.org/ontology/birthPlace
What is an example of a electronic dance music album?;http://dbpedia.org/ontology/genre
what kind of television show is the gates?;http://dbpedia.org/ontology/genre
What is the name of a pop music album;http://dbpedia.org/ontology/genre
where in iran was hooshang seyhoun born?;http://dbpedia.org/ontology/birthPlace
what genre of software is recuva;http://dbpedia.org/ontology/genre
Name an album that is industrial metal genre;http://dbpedia.org/ontology/genre
where did kuno fischer spend his last day alive;http://dbpedia.org/ontology/deathPlace
Where in Scotland was flora stevenson born?;http://dbpedia.org/ontology/birthPlace
What kind of metal does sonny mayo play;http://dbpedia.org/ontology/genre
what kind of music does babylon zoo perform;http://dbpedia.org/ontology/genre
What is the genre of the album the power out;http://dbpedia.org/ontology/genre
whats a location in the north american central time zone;http://dbpedia.org/ontology/timeZone
where did george noble plunkett die;http://dbpedia.org/ontology/deathPlace
What album is in the Power Pop genre?;http://dbpedia.org/ontology/genre
Where was ben d. altamirano born?;http://dbpedia.org/ontology/birthPlace
What kind of music is idea;http://dbpedia.org/ontology/genre
What time zone is used in osztopan;http://dbpedia.org/ontology/timeZone
who wrote the lyrics to let it go?;http://dbpedia.org/ontology/writer
In which category does the video game silent hill 3 belong to?;http://dbpedia.org/ontology/genre
Who is someone that was born in kamsack, saskatchewan;http://dbpedia.org/ontology/birthPlace
what type of music can be found on the album journey and turning point;http://dbpedia.org/ontology/genre
What is a pop music artist?;http://dbpedia.org/ontology/genre
who wrote hooked;http://dbpedia.org/ontology/writer
Name a soul music album by Joss Stone?;http://dbpedia.org/ontology/genre
What genre of music does capital kings perform?;http://dbpedia.org/ontology/genre
what city and country was samuel bough born in;http://dbpedia.org/ontology/birthPlace
what genre of music is autumn of their years in?;http://dbpedia.org/ontology/genre
Where did mouloud feraoun die?;http://dbpedia.org/ontology/deathPlace
What's a famous attraction in paris;http://dbpedia.org/ontology/location
Where was grant hanley born;http://dbpedia.org/ontology/birthPlace
which genre of music does brown belong to?;http://dbpedia.org/ontology/genre
Which country does elizabeth jagger have nationality in;http://dbpedia.org/ontology/birthPlace
What sort of music does obina shok write;http://dbpedia.org/ontology/genre
which program is in the genre animated cartoon;http://dbpedia.org/ontology/genre
Who would be considered a new romanticism artist?;http://dbpedia.org/ontology/genre
where was mika kanai born;http://dbpedia.org/ontology/birthPlace
what anime could be considered like an action film;http://dbpedia.org/ontology/genre
what is the name of a person who was born in saint-germain-en-laye;http://dbpedia.org/ontology/birthPlace
What country is bobby foglesong from?;http://dbpedia.org/ontology/birthPlace
who was born in thiruvananthapuram;http://dbpedia.org/ontology/birthPlace
who was the composer behind the song  nobody wins;http://dbpedia.org/ontology/writer
who was born in mandalay?;http://dbpedia.org/ontology/birthPlace
Where was andrew finlay born?;http://dbpedia.org/ontology/birthPlace
what's the name of an electronica artist;http://dbpedia.org/ontology/genre
what type tv serie is homeboys in outer space;http://dbpedia.org/ontology/genre
who composed endless rain;http://dbpedia.org/ontology/writer
What is an album of power pop?;http://dbpedia.org/ontology/genre
Where was charles deaton born?;http://dbpedia.org/ontology/birthPlace
What is the name of a famous gospel music group from Georgia?;http://dbpedia.org/ontology/genre
What is the name of an artist from the electronica genre;http://dbpedia.org/ontology/genre
what county is moores creek bridge in?;http://dbpedia.org/ontology/location
Where did per jacobsson die;http://dbpedia.org/ontology/deathPlace
what is the genre of axis mutatis?;http://dbpedia.org/ontology/genre
what is one of howard devoto's pieces;http://dbpedia.org/ontology/writer
which country is emel heinreich from;http://dbpedia.org/ontology/birthPlace
what city and state was edmund lowe born;http://dbpedia.org/ontology/birthPlace
What is the genre of music made by glassjaw;http://dbpedia.org/ontology/genre
what type of music does bright ideas make;http://dbpedia.org/ontology/genre
Who was born in pratt?;http://dbpedia.org/ontology/birthPlace
what tv program is a family film;http://dbpedia.org/ontology/genre
what sort of music is solaris;http://dbpedia.org/ontology/genre
What film did jack cardiff right;http://dbpedia.org/ontology/writer
What genre of music is off the album visor om slutet;http://dbpedia.org/ontology/genre
Where was fran cortes born;http://dbpedia.org/ontology/birthPlace
what type of music is basie land;http://dbpedia.org/ontology/genre
where was gary william friedman born;http://dbpedia.org/ontology/birthPlace
who wrote the film lost horizon;http://dbpedia.org/ontology/writer
which city was derek lee born;http://dbpedia.org/ontology/birthPlace
what lyricist composed like an angel passing through my room;http://dbpedia.org/ontology/writer
who is the singer of the make it happen song;http://dbpedia.org/ontology/writer
Who was born in belle fourche?;http://dbpedia.org/ontology/birthPlace
what is the nationality of irving Avalos;http://dbpedia.org/ontology/birthPlace
what kind of music did kindness make?;http://dbpedia.org/ontology/genre
What genre is let it be me;http://dbpedia.org/ontology/genre
Which time zone is litchfield park located in;http://dbpedia.org/ontology/timeZone
What genre does the best of jean-luc ponty belong to?;http://dbpedia.org/ontology/genre
what is tobias zellner's place of birth?;http://dbpedia.org/ontology/birthPlace
what types of music is played by scott bradley;http://dbpedia.org/ontology/genre
What is a golf related point-and-click game;http://dbpedia.org/ontology/genre
Name a person born in Fernie, British Columbia.;http://dbpedia.org/ontology/birthPlace
In which time zone is milltown located?;http://dbpedia.org/ontology/timeZone
what style of show is super friends in?;http://dbpedia.org/ontology/genre
Name someone who was born in new orleans;http://dbpedia.org/ontology/birthPlace
what genre is the album a wrenched virile lore?;http://dbpedia.org/ontology/genre
where was bonar law  born;http://dbpedia.org/ontology/birthPlace
Where was laraine day born;http://dbpedia.org/ontology/birthPlace
what kind of show is party pilipinas;http://dbpedia.org/ontology/genre
Where was sean mathias birthed;http://dbpedia.org/ontology/birthPlace
who is the author of just a lil bit;http://dbpedia.org/ontology/writer
where in england was victoria tennant born?;http://dbpedia.org/ontology/birthPlace
what style of music does andy kerr belong to?;http://dbpedia.org/ontology/genre
where was gillian rubinstein born;http://dbpedia.org/ontology/birthPlace
yu yongzhe  is what nationality;http://dbpedia.org/ontology/birthPlace
who is an American was born in pompey;http://dbpedia.org/ontology/birthPlace
rina ikoma is classified as which type of artist;http://dbpedia.org/ontology/genre
Where did lord hawke pass away;http://dbpedia.org/ontology/deathPlace
who was born in los angeles;http://dbpedia.org/ontology/birthPlace
Who wrote the song the guns of brixton?;http://dbpedia.org/ontology/writer
what kind of music does sukia create;http://dbpedia.org/ontology/genre
Who is an artist that makes punk rock music?;http://dbpedia.org/ontology/genre
which city was wilf carter born in;http://dbpedia.org/ontology/birthPlace
who are some thrash metal artists;http://dbpedia.org/ontology/genre
What genre does petra perform?;http://dbpedia.org/ontology/genre
which artist performs progressive rock;http://dbpedia.org/ontology/genre
What is the name of a contemporary worship music album?;http://dbpedia.org/ontology/genre
what genre is bellzlleb;http://dbpedia.org/ontology/genre
What former footballer was born in birmingham?;http://dbpedia.org/ontology/birthPlace
Name someone who was born in mytilene;http://dbpedia.org/ontology/birthPlace
who is a rock music artist;http://dbpedia.org/ontology/genre
Who's a swedish musician that plays blues-rock;http://dbpedia.org/ontology/genre
"what is the genre of the album another side of ""singles ii""?";http://dbpedia.org/ontology/genre
Name a composition by perry farrell.;http://dbpedia.org/ontology/writer
what's a platform game based off of super mario bros.;http://dbpedia.org/ontology/genre
where was keizan born;http://dbpedia.org/ontology/birthPlace
Which city was radmila hrustanovic born in;http://dbpedia.org/ontology/birthPlace
what lyrics did lawrence gowan write;http://dbpedia.org/ontology/writer
where did ludwig donath breathe his last breath;http://dbpedia.org/ontology/deathPlace
Who's an irish singer that plays acoustic music;http://dbpedia.org/ontology/genre
what type of music does bal-sagoth play;http://dbpedia.org/ontology/genre
who was born in havana?;http://dbpedia.org/ontology/birthPlace
where was jean-baptiste benard de la harpe born;http://dbpedia.org/ontology/birthPlace
what type of program is the barchester chronicles?;http://dbpedia.org/ontology/genre
who wrote the lyrics to the travelin' band album;http://dbpedia.org/ontology/writer
what is a sports video game?;http://dbpedia.org/ontology/genre
what is the name of an indie pop artist who formed the band galaxy 500?;http://dbpedia.org/ontology/genre
Which genre is americas next top model under;http://dbpedia.org/ontology/genre
who composed i ain't living long like this;http://dbpedia.org/ontology/writer
who wrote dementia 13;http://dbpedia.org/ontology/writer
where was stanislav sukhina born;http://dbpedia.org/ontology/birthPlace
Who wrote the story of the film hamlet?;http://dbpedia.org/ontology/writer
Which album is a rock music album?;http://dbpedia.org/ontology/genre
what timezone encompasses chimney rock;http://dbpedia.org/ontology/timeZone
Which time zone is richmond located in?;http://dbpedia.org/ontology/timeZone
What is the cvg genre for the computer videogame atv quad power racing?;http://dbpedia.org/ontology/genre
In what u.s. city was ruben amaro, jr. born?;http://dbpedia.org/ontology/birthPlace
who wrote the way we were?;http://dbpedia.org/ontology/writer
which actress was born in flint;http://dbpedia.org/ontology/birthPlace
name an artist in the glam rock genre.;http://dbpedia.org/ontology/genre
where is grace greenwood ames's place of death;http://dbpedia.org/ontology/deathPlace
which musical genre does the album  perfect from now on belong to;http://dbpedia.org/ontology/genre
where was graeme storm given birth;http://dbpedia.org/ontology/birthPlace
What is an album within the indie rock genre?;http://dbpedia.org/ontology/genre
What musician plays glam punk;http://dbpedia.org/ontology/genre
what kind of music does melissa auf der maur perform;http://dbpedia.org/ontology/genre
where did carlos spaht's life begin;http://dbpedia.org/ontology/birthPlace
Where did michel croz die?;http://dbpedia.org/ontology/deathPlace
Who composed lost in the echo;http://dbpedia.org/ontology/writer
what east anglian county did Anglian die in;http://dbpedia.org/ontology/deathPlace
what is frano getaldic-gundulic's place of death;http://dbpedia.org/ontology/deathPlace
What genre of music does stillwater make?;http://dbpedia.org/ontology/genre
Who is a rock music artist?;http://dbpedia.org/ontology/genre
Who is an artist of nashville sound?;http://dbpedia.org/ontology/genre
What kind of music does syd kitchen play?;http://dbpedia.org/ontology/genre
What area is served by kdfi;http://dbpedia.org/ontology/location
What is the genre of the album the lion and the cobra;http://dbpedia.org/ontology/genre
What kind of an artist robin russell;http://dbpedia.org/ontology/genre
where did  edward dowse pass away;http://dbpedia.org/ontology/deathPlace
Which genre is the artist thunder associated with;http://dbpedia.org/ontology/genre
who is the story of deliverance by;http://dbpedia.org/ontology/writer
what was the place of birth for james jackman;http://dbpedia.org/ontology/birthPlace
Which country is marcus einfeld from?;http://dbpedia.org/ontology/birthPlace
where in senegal was papa gueye born?;http://dbpedia.org/ontology/birthPlace
what is regina ezera's place of death?;http://dbpedia.org/ontology/deathPlace
what is the name of someone born in izmail;http://dbpedia.org/ontology/birthPlace
what kind of music do the stereophonics record;http://dbpedia.org/ontology/genre
what is the name of the album by American folk rock music trio America;http://dbpedia.org/ontology/genre
what album is a type of dance music?;http://dbpedia.org/ontology/genre
what kind of album is captain beyond?;http://dbpedia.org/ontology/genre
