question;predicate
Which Ivy league alumni is signed with reprise records?;http://dbpedia.org/ontology/recordLabel
What nation is al helfer from;http://dbpedia.org/ontology/birthPlace
Who directed the film the man who cried;http://dbpedia.org/ontology/director
What is an example of a mystery novel?;http://dbpedia.org/ontology/literaryGenre
where did bobb trimble originate from;http://dbpedia.org/ontology/hometown
where was childe hassam born;http://dbpedia.org/ontology/birthPlace
what position does federico elduayen play in soccer;http://dbpedia.org/ontology/position
Where was gedeon raday born?;http://dbpedia.org/ontology/birthPlace
what kind of music is silence is sexy;http://dbpedia.org/ontology/genre
which film was vinicius de moraes a story contributor for?;http://dbpedia.org/ontology/writer
what position does takashi amano play;http://dbpedia.org/ontology/position
Name an artist within the grindcore genre?;http://dbpedia.org/ontology/genre
Which time zone is fredonia in?;http://dbpedia.org/ontology/timeZone
Who produced the movie cop;http://dbpedia.org/ontology/producer
What label is the paper chase (band) signed to?;http://dbpedia.org/ontology/recordLabel
who is the executive producer of national treasure?;http://dbpedia.org/ontology/producer
which country is anna proclemer from;http://dbpedia.org/ontology/birthPlace
what genre was the elves of cintra written in;http://dbpedia.org/ontology/literaryGenre
What city did the september when come from?;http://dbpedia.org/ontology/hometown
what language does zong pu speak;http://dbpedia.org/ontology/language
What is an album that features dubstep?;http://dbpedia.org/ontology/genre
What genre of book is new moon (novel)?;http://dbpedia.org/ontology/literaryGenre
What former footballer was born in birmingham?;http://dbpedia.org/ontology/birthPlace
where was maria bello born;http://dbpedia.org/ontology/birthPlace
what city in france was antoine laurent de jussieu  born;http://dbpedia.org/ontology/birthPlace
what european nation does wieslaw chrzanowski belong to?;http://dbpedia.org/ontology/birthPlace
what kind of music does pixie lott produce;http://dbpedia.org/ontology/genre
which label signed jennifer warnes;http://dbpedia.org/ontology/recordLabel
What is pablo andres gonzalez's nationality?;http://dbpedia.org/ontology/birthPlace
what nationality is brian boyle;http://dbpedia.org/ontology/birthPlace
Where is lake okareka located;http://dbpedia.org/ontology/location
What is one artist who has recorded under polydor records?;http://dbpedia.org/ontology/recordLabel
what is a township that is located in north american central time zone;http://dbpedia.org/ontology/timeZone
What has marguerite henry written;http://dbpedia.org/ontology/author
Where was roel van duijn born;http://dbpedia.org/ontology/birthPlace
Name an artist that performs doom metal  music;http://dbpedia.org/ontology/genre
what kind of music is niclas engelin associated with;http://dbpedia.org/ontology/genre
What is a game that is categorized as a shooter game;http://dbpedia.org/ontology/genre
who was the director for the day after tomorrow;http://dbpedia.org/ontology/director
what european city did dorian shainin die;http://dbpedia.org/ontology/deathPlace
which kind of music is chrishawkesmusic known for?;http://dbpedia.org/ontology/genre
what type of music does etta jones make;http://dbpedia.org/ontology/genre
what movie did carlos reygadas produce;http://dbpedia.org/ontology/producer
What is an example of a composition by jule styne;http://dbpedia.org/ontology/writer
is the album hallelujah time! jazz or hip-hop;http://dbpedia.org/ontology/genre
Who directed the film tweet and lovely;http://dbpedia.org/ontology/director
What position does helmut hermann play in soccer;http://dbpedia.org/ontology/position
What type of music does keith richards play?;http://dbpedia.org/ontology/genre
Who is a second baseman;http://dbpedia.org/ontology/position
Name someone born in petaluma, california;http://dbpedia.org/ontology/birthPlace
what type of music does jeff sherman play;http://dbpedia.org/ontology/genre
what television genre is the program  luna mystika;http://dbpedia.org/ontology/genre
who is a flamenco artist;http://dbpedia.org/ontology/genre
Name a book that author gary gygax has written;http://dbpedia.org/ontology/author
what building is found in foxborough?;http://dbpedia.org/ontology/location
what song did chris frantz write;http://dbpedia.org/ontology/writer
What is an example of a rock album?;http://dbpedia.org/ontology/genre
what is a fiction book based around StarTrek;http://dbpedia.org/ontology/literaryGenre
What type of album is in the eye of the storm?;http://dbpedia.org/ontology/genre
what baseball position does jose escobar play;http://dbpedia.org/ontology/position
where did ferdinand de la cerda's life end;http://dbpedia.org/ontology/deathPlace
which asian country is kujtim Cashku from;http://dbpedia.org/ontology/birthPlace
who was born in uvalde?;http://dbpedia.org/ontology/birthPlace
where was the death place of bhadriraju krishnamurti;http://dbpedia.org/ontology/deathPlace
which record label signed the serenes;http://dbpedia.org/ontology/recordLabel
what book is from the speculative fiction genre?;http://dbpedia.org/ontology/literaryGenre
Where in Australia did george simpson die?;http://dbpedia.org/ontology/deathPlace
Which position in professional hockey does dainius zubrus play;http://dbpedia.org/ontology/position
Name a sword and sorcery book;http://dbpedia.org/ontology/literaryGenre
what cities are in the central european time zone;http://dbpedia.org/ontology/timeZone
which city did francis warrington gillet die;http://dbpedia.org/ontology/deathPlace
Who is an artist that is signed to philips records;http://dbpedia.org/ontology/recordLabel
Who's signed to dischord records;http://dbpedia.org/ontology/recordLabel
who directed the film greedy for tweety;http://dbpedia.org/ontology/director
what type of music is on this time around?;http://dbpedia.org/ontology/genre
what genre does patrick moraz classify under;http://dbpedia.org/ontology/genre
what type of book is the the darkest evening of the year;http://dbpedia.org/ontology/literaryGenre
what kind of music is play nice;http://dbpedia.org/ontology/genre
What is a composition that was created by van morrison?;http://dbpedia.org/ontology/writer
what position does red kelly play;http://dbpedia.org/ontology/position
what football position does iuliu baratky play?;http://dbpedia.org/ontology/position
what is a fantasy book?;http://dbpedia.org/ontology/literaryGenre
what position does damir kreilach play in football;http://dbpedia.org/ontology/position
what is the place of birth of arthur malkin;http://dbpedia.org/ontology/birthPlace
what films did derrick borte write;http://dbpedia.org/ontology/writer
Where was hartmann lauterbacher born;http://dbpedia.org/ontology/birthPlace
which song did andrew william harvey taylor write the words for;http://dbpedia.org/ontology/writer
what is an alternative rock album;http://dbpedia.org/ontology/genre
which position did mark trumbo play;http://dbpedia.org/ontology/position
Who wrote the book american buffalo;http://dbpedia.org/ontology/author
Where was giovanni battista giraldi born;http://dbpedia.org/ontology/birthPlace
what is the nationality of oleksandr radchenko;http://dbpedia.org/ontology/birthPlace
what did guillermo franco die?;http://dbpedia.org/ontology/deathPlace
what genre is tour 2003?;http://dbpedia.org/ontology/genre
which position in football does james develin play;http://dbpedia.org/ontology/position
what kind of album does sulk belong to?;http://dbpedia.org/ontology/genre
What book is focused on sociology;http://dbpedia.org/ontology/literaryGenre
what game is part of the platform game genre;http://dbpedia.org/ontology/genre
where did bill monroe kick the bucket;http://dbpedia.org/ontology/deathPlace
Who produced the movie dr. horribles sing-along blog;http://dbpedia.org/ontology/producer
Who directed the film the fighting renegade;http://dbpedia.org/ontology/director
Where was derick etwaroo born?;http://dbpedia.org/ontology/birthPlace
what sort of music album is group therapy;http://dbpedia.org/ontology/genre
what position did jacob erskine play in soccer?;http://dbpedia.org/ontology/position
which football position is hassoun camara charged of;http://dbpedia.org/ontology/position
who directed amour;http://dbpedia.org/ontology/director
frankmusik is what music genre;http://dbpedia.org/ontology/genre
where was barun de born;http://dbpedia.org/ontology/birthPlace
which football player was born in aurora?;http://dbpedia.org/ontology/birthPlace
which country is hugo brizuela from;http://dbpedia.org/ontology/birthPlace
What country is steven morris from;http://dbpedia.org/ontology/birthPlace
what city was joe genewich born in;http://dbpedia.org/ontology/birthPlace
what album is country;http://dbpedia.org/ontology/genre
what is an alternative rock artist?;http://dbpedia.org/ontology/genre
Where is Patrick Cowley from?;http://dbpedia.org/ontology/hometown
what country gives nationality to barbara a. schaal;http://dbpedia.org/ontology/birthPlace
which city is the book tower found in;http://dbpedia.org/ontology/location
what time zone is reno township a part of;http://dbpedia.org/ontology/timeZone
what film did olivier assayas direct;http://dbpedia.org/ontology/director
Where in canada was george tustin born;http://dbpedia.org/ontology/birthPlace
What's a defensive position that jonathan nelson can play;http://dbpedia.org/ontology/position
which record label is aghora signed to;http://dbpedia.org/ontology/recordLabel
what musical genre is city nights;http://dbpedia.org/ontology/genre
which city and state is troy in?;http://dbpedia.org/ontology/location
what movie is written by hal roach?;http://dbpedia.org/ontology/writer
where did chvrches come from?;http://dbpedia.org/ontology/hometown
what is one of avicii's compositions;http://dbpedia.org/ontology/writer
Where in the united states is jones motor company;http://dbpedia.org/ontology/location
tomas bagi was born in which city in Slovakia?;http://dbpedia.org/ontology/birthPlace
what is the title of a movie that is a  bollywood film;http://dbpedia.org/ontology/language
where is peter evrard originally from;http://dbpedia.org/ontology/hometown
what country is cynthia mckinney a citizen of;http://dbpedia.org/ontology/birthPlace
whats the name of a coffee table book;http://dbpedia.org/ontology/literaryGenre
What works have been written by chris pierson;http://dbpedia.org/ontology/author
what label manages the artist evangeline;http://dbpedia.org/ontology/recordLabel
who wrote two mules for sister sara?;http://dbpedia.org/ontology/writer
Name a professional soccer player born in maidstone;http://dbpedia.org/ontology/birthPlace
what type of music does pelle carlberg play?;http://dbpedia.org/ontology/genre
where was regina george born;http://dbpedia.org/ontology/birthPlace
What is the name of a new wave music band;http://dbpedia.org/ontology/genre
what type of book is the name of the rose?;http://dbpedia.org/ontology/literaryGenre
what genre does katie reider perform in;http://dbpedia.org/ontology/genre
what kind of music is on native tongue (album)?;http://dbpedia.org/ontology/genre
what language is spoken in cadavre exquis premiere edition?;http://dbpedia.org/ontology/language
which town did jeremiah clemens die;http://dbpedia.org/ontology/deathPlace
which language is spoken in symphony;http://dbpedia.org/ontology/language
what italian commune is in the central european time zone;http://dbpedia.org/ontology/timeZone
What language was escape from memory originally written in;http://dbpedia.org/ontology/language
What's a city in oregon that uses the pacific time zone;http://dbpedia.org/ontology/timeZone
what nationality is david rozgonyi;http://dbpedia.org/ontology/birthPlace
where is beranger aymard bosse from;http://dbpedia.org/ontology/birthPlace
What is a film that johann wolfgang von goethe contributed film story to;http://dbpedia.org/ontology/writer
What is the place of death of levi lincoln, jr.;http://dbpedia.org/ontology/deathPlace
What is the name of the dance music genre album?;http://dbpedia.org/ontology/genre
what is an adventure video game;http://dbpedia.org/ontology/genre
What genre of music does dave douglas (trumpeter) play;http://dbpedia.org/ontology/genre
where was arjan beqaj's place of birth;http://dbpedia.org/ontology/birthPlace
Where did Walter Chyzowych die?;http://dbpedia.org/ontology/deathPlace
what is one of howard devoto's pieces;http://dbpedia.org/ontology/writer
Name an album from the pop rock genre;http://dbpedia.org/ontology/genre
What is the name of a fantasy tv show based in britain?;http://dbpedia.org/ontology/genre
what is the genre of the artist joey cape;http://dbpedia.org/ontology/genre
what's a power metal act that's signed to massacre records;http://dbpedia.org/ontology/recordLabel
what is the place of death associated with john mclean;http://dbpedia.org/ontology/deathPlace
Which album is a latin pop album>;http://dbpedia.org/ontology/genre
what position does sebastian langkamp play;http://dbpedia.org/ontology/position
who wrote the story for the film patton (film)?;http://dbpedia.org/ontology/writer
Where was nadia gamel born;http://dbpedia.org/ontology/birthPlace
what football position did damien gregorini play;http://dbpedia.org/ontology/position
what lyrics did charles brown (musician) write;http://dbpedia.org/ontology/writer
What is the cvg genre of jeremy mcgrath supercross world;http://dbpedia.org/ontology/genre
which stereo mc producer was born in nottingham?;http://dbpedia.org/ontology/birthPlace
where in india was laxminarayan pandey born;http://dbpedia.org/ontology/birthPlace
what is a kind of science fiction book?;http://dbpedia.org/ontology/literaryGenre
what position does khurshed makhmudov play;http://dbpedia.org/ontology/position
Which genre of music is made by pedro fernandez;http://dbpedia.org/ontology/genre
what position does football player krzysztof maczynski play;http://dbpedia.org/ontology/position
adolf hedin died in which Swedish city?;http://dbpedia.org/ontology/deathPlace
from which country is morgenstern from;http://dbpedia.org/ontology/hometown
Name an artist who produces rock music;http://dbpedia.org/ontology/genre
what language is on the film ssukh;http://dbpedia.org/ontology/language
What label is joaquin cardiel signed to;http://dbpedia.org/ontology/recordLabel
what type of music is god is greater than man;http://dbpedia.org/ontology/genre
What is the name of a location in the pacific time zone;http://dbpedia.org/ontology/timeZone
What did aretha franklin compose?;http://dbpedia.org/ontology/writer
what's the name of an adventure video game;http://dbpedia.org/ontology/genre
what tv episodes has tawnia mckiernan directed;http://dbpedia.org/ontology/director
what types of game is jade empire;http://dbpedia.org/ontology/genre
What country was eleazer oswald born in;http://dbpedia.org/ontology/birthPlace
Who wrote the cruelest month;http://dbpedia.org/ontology/author
what position does ryoichi kurisawa play;http://dbpedia.org/ontology/position
Who was the writer of the film the devil wears prada (film)?;http://dbpedia.org/ontology/writer
whats the name of a former baseball pitcher;http://dbpedia.org/ontology/position
what is the name of someone born in chiayi;http://dbpedia.org/ontology/birthPlace
what is absalom willis robertson's place of birth;http://dbpedia.org/ontology/birthPlace
Who was born in mercia?;http://dbpedia.org/ontology/birthPlace
who was the composer of the song idiot wind;http://dbpedia.org/ontology/writer
The film electronic labyrinth thx 1138:4eb was written by who>;http://dbpedia.org/ontology/writer
who plays and loves rock music;http://dbpedia.org/ontology/genre
who directed the film dynamite;http://dbpedia.org/ontology/director
what genre is the separation;http://dbpedia.org/ontology/literaryGenre
what kind of show is party pilipinas;http://dbpedia.org/ontology/genre
which nationality is marie-eve nault;http://dbpedia.org/ontology/birthPlace
Where is mariska from;http://dbpedia.org/ontology/hometown
where in new york did roy lichtenstein die?;http://dbpedia.org/ontology/deathPlace
Where was deborah henson born?;http://dbpedia.org/ontology/birthPlace
what is the name of the artist who records under asylum records;http://dbpedia.org/ontology/recordLabel
Which position does zhang wenzhao currently play?;http://dbpedia.org/ontology/position
who wrote lyrics to burning in the skies?;http://dbpedia.org/ontology/writer
Where was sergio mendizabal birthed?;http://dbpedia.org/ontology/birthPlace
which genre is the album brown book (album);http://dbpedia.org/ontology/genre
who was born in hato rey, puerto rico?;http://dbpedia.org/ontology/birthPlace
what type of music does bright idea play;http://dbpedia.org/ontology/genre
Where was jill whelan born;http://dbpedia.org/ontology/birthPlace
What is the origin of peter j. moore;http://dbpedia.org/ontology/hometown
who is signed with def jam recordings;http://dbpedia.org/ontology/recordLabel
what's a bollywood film from 1996;http://dbpedia.org/ontology/language
what are autobiography books;http://dbpedia.org/ontology/literaryGenre
what kind of rock does sebastien grainger & the mountains put out;http://dbpedia.org/ontology/genre
what county contains indian point energy center;http://dbpedia.org/ontology/location
what country gives nationality to nassama asselme;http://dbpedia.org/ontology/birthPlace
In what city and state was emily janss born?;http://dbpedia.org/ontology/birthPlace
what movie is produce by jim henson;http://dbpedia.org/ontology/producer
who wrote the story for nutty professor ii: the klumps;http://dbpedia.org/ontology/writer
where did edith maud cook die;http://dbpedia.org/ontology/deathPlace
what kind of book is the spirit of the age?;http://dbpedia.org/ontology/literaryGenre
what films has kelly reichardt been credited in;http://dbpedia.org/ontology/writer
Which time zone is richmond located in?;http://dbpedia.org/ontology/timeZone
Where is michael steven buble from?;http://dbpedia.org/ontology/birthPlace
Which city was silvio tendler born in;http://dbpedia.org/ontology/birthPlace
what label is the shins under;http://dbpedia.org/ontology/recordLabel
who was born in kandahar;http://dbpedia.org/ontology/birthPlace
what type of game is wcw nitro;http://dbpedia.org/ontology/genre
what kinds of music is played by 2cents;http://dbpedia.org/ontology/genre
what kind of jazz does keiko matsui play;http://dbpedia.org/ontology/genre
what label is mark reale signed with?;http://dbpedia.org/ontology/recordLabel
Name a pop music singer;http://dbpedia.org/ontology/genre
who was the producer on the film enemy mine (film);http://dbpedia.org/ontology/producer
What book genre is frost at christmas;http://dbpedia.org/ontology/literaryGenre
What type of music is mike morasky best known for;http://dbpedia.org/ontology/genre
Name an acid rock album;http://dbpedia.org/ontology/genre
which city did patrick allotey pass away;http://dbpedia.org/ontology/deathPlace
what kinds of music is played by andrew gold;http://dbpedia.org/ontology/genre
what type of album is hot! live and otherwise?;http://dbpedia.org/ontology/genre
what position does ed frutig play;http://dbpedia.org/ontology/position
which author wrote the book shorter views;http://dbpedia.org/ontology/author
torch is considered a part of what music genre?;http://dbpedia.org/ontology/genre
What is mario pacilli's soccer position;http://dbpedia.org/ontology/position
Who is a scottish football player born in glasgow;http://dbpedia.org/ontology/birthPlace
what city and state is glebe house based in;http://dbpedia.org/ontology/location
where did the artist myredmasque originate from;http://dbpedia.org/ontology/hometown
which town was bela bartok born;http://dbpedia.org/ontology/birthPlace
in which state is st. mary's chapel located;http://dbpedia.org/ontology/location
Which person was born in murrayfield?;http://dbpedia.org/ontology/birthPlace
whats the nationality of gerard depardieu;http://dbpedia.org/ontology/birthPlace
what person is known for being born in  columbia;http://dbpedia.org/ontology/birthPlace
Who is a famous screen writer from winnipeg;http://dbpedia.org/ontology/birthPlace
what books have joseph wambaugh written?;http://dbpedia.org/ontology/author
What touristic place in Wales is near porthmadog?;http://dbpedia.org/ontology/location
what position does hockey player mike crombeen play;http://dbpedia.org/ontology/position
what type of music does adrian smith play;http://dbpedia.org/ontology/genre
which position does laszlo fazekas play;http://dbpedia.org/ontology/position
what language is spoken throughout the movie called the hunt for gollum;http://dbpedia.org/ontology/language
Who's a movie director born in oulu;http://dbpedia.org/ontology/birthPlace
what time is randolph in?;http://dbpedia.org/ontology/timeZone
Who is a football striker born in ouagadougou?;http://dbpedia.org/ontology/birthPlace
which country is mariano acevedo from;http://dbpedia.org/ontology/birthPlace
In which country was alita roman birthed?;http://dbpedia.org/ontology/birthPlace
what genre of music does adam deitch play;http://dbpedia.org/ontology/genre
where can you find the uss arizona memorial;http://dbpedia.org/ontology/location
who was the author of the book left behind;http://dbpedia.org/ontology/author
what type of book is land of unreason;http://dbpedia.org/ontology/literaryGenre
What's an alternative rock album released in the 90s;http://dbpedia.org/ontology/genre
what sort of music is blue gene affiliated with;http://dbpedia.org/ontology/genre
what was alda merini's place of passing away;http://dbpedia.org/ontology/deathPlace
Where is steve ott from;http://dbpedia.org/ontology/birthPlace
where did ernst zermelo pass away;http://dbpedia.org/ontology/deathPlace
What is the genre of permutation city?;http://dbpedia.org/ontology/literaryGenre
which song is written by john wetton;http://dbpedia.org/ontology/writer
Where was avi buffalo born?;http://dbpedia.org/ontology/hometown
What football position did walter khumalo play;http://dbpedia.org/ontology/position
What is the genre of the book all about the future?;http://dbpedia.org/ontology/literaryGenre
Where was kim seung-jun's place of birth?;http://dbpedia.org/ontology/birthPlace
What is the title of Freda Payne's pop music album?;http://dbpedia.org/ontology/genre
what is the type of music made by tyler hilton?;http://dbpedia.org/ontology/genre
what is the name of a person who was born in saint-germain-en-laye;http://dbpedia.org/ontology/birthPlace
Where was sidney fields birthed;http://dbpedia.org/ontology/birthPlace
where was hannes sigfusson born;http://dbpedia.org/ontology/birthPlace
Where was king osanga's place of birth?;http://dbpedia.org/ontology/birthPlace
where did saint serapia die?;http://dbpedia.org/ontology/deathPlace
Where was bob cooney born?;http://dbpedia.org/ontology/birthPlace
Whats example of a speculative fiction film;http://dbpedia.org/ontology/literaryGenre
what label is johnny diesel under;http://dbpedia.org/ontology/recordLabel
what's a platform game based off of super mario bros.;http://dbpedia.org/ontology/genre
what is the genre of the album el lado oscuro?;http://dbpedia.org/ontology/genre
Who produced the film mabel, fatty and the law?;http://dbpedia.org/ontology/producer
who was born in richmond;http://dbpedia.org/ontology/birthPlace
who is the author of the written work the viceroy of ouidah;http://dbpedia.org/ontology/author
where did arthur forbes gordon kilby die;http://dbpedia.org/ontology/deathPlace
whos known for playing first baseman;http://dbpedia.org/ontology/position
Where did ali jawdat al-aiyubi die?;http://dbpedia.org/ontology/deathPlace
what was the place of birth of alain delon;http://dbpedia.org/ontology/birthPlace
neil hubbard is an artist in which genre of music?;http://dbpedia.org/ontology/genre
What style of music does rosangela play?;http://dbpedia.org/ontology/genre
what type of show is fireball xl5?;http://dbpedia.org/ontology/genre
what's a k-pop group signed to universal music group;http://dbpedia.org/ontology/recordLabel
