id;question;predicate;subject
40854;which city and state was joe malenko born;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Joe_Malenko
70964;Who directed the whistle at eaton falls;http://dbpedia.org/ontology/director;http://dbpedia.org/resource/The_Whistle_at_Eaton_Falls
36802;where was ioseb chugoshvili born;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Ioseb_Chugoshvili
31584;What is william smith's nationality?;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/William_Smith_(South_Carolina_senator)
35111;what position does quinton ross play in basketball;http://dbpedia.org/ontology/position;http://dbpedia.org/resource/Quinton_Ross
26002;where in california is aceyalone from?;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Aceyalone
30325;Who is the author of the book no connection;http://dbpedia.org/ontology/author;http://dbpedia.org/resource/No_Connection
36167;what kind of music is gene hoglan;http://dbpedia.org/ontology/genre;http://dbpedia.org/resource/Gene_Hoglan
69887;what time zone is reno township a part of;http://dbpedia.org/ontology/timeZone;http://dbpedia.org/resource/Reno_Township,_Pope_County,_Minnesota
45557;what position does carson palmer play;http://dbpedia.org/ontology/position;http://dbpedia.org/resource/Carson_Palmer
69326;where was muriel byck born;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Muriel_Byck
28294;where did helen suzman die;http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/Helen_Suzman
17816;what type of music is featured in part primitiv;http://dbpedia.org/ontology/genre;http://dbpedia.org/resource/Part-Primitiv
56787;of what genre is the album all in;http://dbpedia.org/ontology/genre;http://dbpedia.org/resource/All_In_(Stroke_9_album)
29167;Who directed the horror film the ward?;http://dbpedia.org/ontology/director;http://dbpedia.org/resource/The_Ward_(film)
67290;which style of music does the artist megg play in?;http://dbpedia.org/ontology/genre;http://dbpedia.org/resource/MEGG
46447;What kind of music does mikey wax record?;http://dbpedia.org/ontology/genre;http://dbpedia.org/resource/Mikey_Wax
24189;what type of music is die happy;http://dbpedia.org/ontology/genre;http://dbpedia.org/resource/Die_Happy
63748;who directed sagina;http://dbpedia.org/ontology/director;http://dbpedia.org/resource/Sagina_(film)
74924;Where was bruce catton born;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Bruce_Catton
32688;who wrote decadence;http://dbpedia.org/ontology/writer;http://dbpedia.org/resource/Decadence_(film)
71399;what genre does transcendental blues affiliate with;http://dbpedia.org/ontology/genre;http://dbpedia.org/resource/Transcendental_Blues
38898;What is Anton Graff's nationality?;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Anton_Graff
09732;what kind of music does jean-michel pilc make;http://dbpedia.org/ontology/genre;http://dbpedia.org/resource/Jean-Michel_Pilc
66702;What part of America was kevin chapman born in?;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Kevin_Chapman_(baseball)
44408;what kind of music can be found on the album the positives;http://dbpedia.org/ontology/genre;http://dbpedia.org/resource/The_Positives_(album)
51119;What genre does the book mara, daughter of the nile fall in?;http://dbpedia.org/ontology/literaryGenre;http://dbpedia.org/resource/Mara,_Daughter_of_the_Nile
74706;where did karl meixner die;http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/Karl_Meixner
61328;What type of music is on the crash and burn album;http://dbpedia.org/ontology/genre;http://dbpedia.org/resource/Crash_and_Burn_(Pat_Travers_Band_album)
35393;what type of album is building 429;http://dbpedia.org/ontology/genre;http://dbpedia.org/resource/Building_429_(2000_album)
07402;what kind of music is on the album we've come for you all;http://dbpedia.org/ontology/genre;http://dbpedia.org/resource/We've_Come_for_You_All
20786;What kind of music is gravity the seducer;http://dbpedia.org/ontology/genre;http://dbpedia.org/resource/Gravity_the_Seducer
02951;Where was louise howard born?;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Louise_Howard
46762;where was o. s. nock born;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/O._S._Nock
52216;what genre of music does glukoza perform;http://dbpedia.org/ontology/genre;http://dbpedia.org/resource/Glukoza
60676;which timezone is inglewood, california in;http://dbpedia.org/ontology/timeZone;http://dbpedia.org/resource/Inglewood,_California
54374;Which genre of book is conan and the amazon considered to be;http://dbpedia.org/ontology/literaryGenre;http://dbpedia.org/resource/Conan_and_the_Amazon
03801;what type of story is ole doc methuselah;http://dbpedia.org/ontology/literaryGenre;http://dbpedia.org/resource/Ole_Doc_Methuselah
07811;What type of genre is the voice of steel?;http://dbpedia.org/ontology/genre;http://dbpedia.org/resource/The_Voice_of_Steel
30069;what kind of music does ethan johns make;http://dbpedia.org/ontology/genre;http://dbpedia.org/resource/Ethan_Johns
64010;What genre does tre cool's music fall under?;http://dbpedia.org/ontology/genre;http://dbpedia.org/resource/Tré_Cool
51143;where was ali hewson born?;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Ali_Hewson
68752;what genre of music is love cry categorized as;http://dbpedia.org/ontology/genre;http://dbpedia.org/resource/Love_Cry
40684;which city is mary ann shadd cary house based in;http://dbpedia.org/ontology/location;http://dbpedia.org/resource/Mary_Ann_Shadd_Cary_House
48445;what is the origin of cornmo;http://dbpedia.org/ontology/hometown;http://dbpedia.org/resource/Corn_Mo
07704;Which position is played by  georgi andonov;http://dbpedia.org/ontology/position;http://dbpedia.org/resource/Georgi_Andonov
54350;what time zone encompasses teec nos pos;http://dbpedia.org/ontology/timeZone;http://dbpedia.org/resource/Teec_Nos_Pos,_Arizona
12288;where was brian priestman born;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Brian_Priestman
62599;what type of program is rafaela?;http://dbpedia.org/ontology/genre;http://dbpedia.org/resource/Rafaela_(telenovela)
04525;where is florin prunea originally from;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Florin_Prunea
06614;What is the nationality of jade macrae;http://dbpedia.org/ontology/hometown;http://dbpedia.org/resource/Jade_MacRae
71787;what is laurel clark's place of birth?;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Laurel_Clark
60366;what kind of video game is warcraft iii: the frozen throne;http://dbpedia.org/ontology/genre;http://dbpedia.org/resource/Warcraft_III:_The_Frozen_Throne
62498;Who firected the film 1999;http://dbpedia.org/ontology/director;http://dbpedia.org/resource/1999_(film)
46186;what kinds of book is in the grip of winter;http://dbpedia.org/ontology/literaryGenre;http://dbpedia.org/resource/In_the_Grip_of_Winter
54476;what type of music is heard on huey lewis and the news;http://dbpedia.org/ontology/genre;http://dbpedia.org/resource/Huey_Lewis_and_the_News_(album)
17784;who wrote have a little faith?;http://dbpedia.org/ontology/author;http://dbpedia.org/resource/Have_a_Little_Faith_(book)
36234;Which genre of music does betty davis play;http://dbpedia.org/ontology/genre;http://dbpedia.org/resource/Betty_Davis
36597;what is maria mccool's country if nationality?;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Maria_McCool
42286;what label is la roux signed to;http://dbpedia.org/ontology/recordLabel;http://dbpedia.org/resource/La_Roux
19106;what kind of music does side walk slam make?;http://dbpedia.org/ontology/genre;http://dbpedia.org/resource/Side_Walk_Slam
51122;who wrote the year of the death of ricardo reis;http://dbpedia.org/ontology/author;http://dbpedia.org/resource/The_Year_of_the_Death_of_Ricardo_Reis
32707;who directed  forbidden fruit;http://dbpedia.org/ontology/director;http://dbpedia.org/resource/Forbidden_Fruit_(1921_film)
00685;what label is the artist love affair apart of;http://dbpedia.org/ontology/recordLabel;http://dbpedia.org/resource/Love_Affair_(band)
12267;What style of music is the album the lex diamond story?;http://dbpedia.org/ontology/genre;http://dbpedia.org/resource/The_Lex_Diamond_Story
55261;what kind of music does arianna perform;http://dbpedia.org/ontology/genre;http://dbpedia.org/resource/Arianna_Bergamaschi
13033;What position does jeff jones (pitcher) play;http://dbpedia.org/ontology/position;http://dbpedia.org/resource/Jeff_Jones_(pitcher)
62269;What genre is wizards of waverly place;http://dbpedia.org/ontology/genre;http://dbpedia.org/resource/Wizards_of_Waverly_Place_(soundtrack)
01919;who is the writer for frida;http://dbpedia.org/ontology/writer;http://dbpedia.org/resource/Frida
29713;what kind of music is the up off the floor album;http://dbpedia.org/ontology/genre;http://dbpedia.org/resource/Up_off_the_Floor
10827;Where did felix ehrenhaft die?;http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/Felix_Ehrenhaft
42847;who wrote absolute justice;http://dbpedia.org/ontology/writer;http://dbpedia.org/resource/Absolute_Justice
53074;What subgenre of rock is featured on the who sell out;http://dbpedia.org/ontology/genre;http://dbpedia.org/resource/The_Who_Sell_Out
28365;which language is used for the dictator's guns;http://dbpedia.org/ontology/language;http://dbpedia.org/resource/The_Dictator's_Guns
70769;where was juan carlos sanchez, jr. born;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Juan_Carlos_Sánchez,_Jr.
04202;Who produced silkwood?;http://dbpedia.org/ontology/producer;http://dbpedia.org/resource/Silkwood
26381;where did  edward dowse pass away;http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/Edward_Dowse
00663;What kind of music is rob townsend;http://dbpedia.org/ontology/genre;http://dbpedia.org/resource/Rob_Townsend
21451;where was alvin walton born;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Alvin_Walton
33209;What type of music is ranking roger known for;http://dbpedia.org/ontology/genre;http://dbpedia.org/resource/Ranking_Roger
07399;what type of music is you cross my path?;http://dbpedia.org/ontology/genre;http://dbpedia.org/resource/You_Cross_My_Path_(album)
38856;What style of book is maza of the moon?;http://dbpedia.org/ontology/literaryGenre;http://dbpedia.org/resource/Maza_of_the_Moon
39925;which position does dieter kramer play;http://dbpedia.org/ontology/position;http://dbpedia.org/resource/Dieter_Kramer
28343;where is the birthplace of jamie guy;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Jamie_Guy
49812;kamal thapa plays what football position;http://dbpedia.org/ontology/position;http://dbpedia.org/resource/Kamal_Thapa_(footballer)
47091;What type of music genre does unit fall under?;http://dbpedia.org/ontology/genre;http://dbpedia.org/resource/Unit_(album)
08321;What was the position of american football player garrison hearst?;http://dbpedia.org/ontology/position;http://dbpedia.org/resource/Garrison_Hearst
36241;what type of album is times square?;http://dbpedia.org/ontology/genre;http://dbpedia.org/resource/Times_Square_(soundtrack)
37730;Who directed the five days?;http://dbpedia.org/ontology/director;http://dbpedia.org/resource/The_Five_Days
42608;what music genre is k-klass;http://dbpedia.org/ontology/genre;http://dbpedia.org/resource/K-Klass
52652;what kind of metal is the album my kantele;http://dbpedia.org/ontology/genre;http://dbpedia.org/resource/My_Kantele
48570;Where was raleigh roundtree born in the united states?;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Raleigh_Roundtree
45885;What language is spoken in gma news live;http://dbpedia.org/ontology/language;http://dbpedia.org/resource/GMA_News_Live
48651;Where did paul nash (artist) die;http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/Paul_Nash_(artist)
14396;what is frano getaldic-gundulic's place of death;http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/Frano_Getaldić-Gundulić
06119;where did mark belanger die;http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/Mark_Belanger
54852;what are the musical roots of scattered order;http://dbpedia.org/ontology/genre;http://dbpedia.org/resource/Scattered_Order
73821;What is crooked i's genre;http://dbpedia.org/ontology/genre;http://dbpedia.org/resource/Crooked_I
60054;which time zones is mcdonaldsville township located in?;http://dbpedia.org/ontology/timeZone;http://dbpedia.org/resource/McDonaldsville_Township,_Norman_County,_Minnesota
55374;what kind of book is these our actors;http://dbpedia.org/ontology/literaryGenre;http://dbpedia.org/resource/These_Our_Actors
09915;What genre of album is say something nice to sarah?;http://dbpedia.org/ontology/genre;http://dbpedia.org/resource/Say_Something_Nice_to_Sarah
08969;what position does greg heydeman play;http://dbpedia.org/ontology/position;http://dbpedia.org/resource/Greg_Heydeman
11505;What is the time zone for the city of scandia?;http://dbpedia.org/ontology/timeZone;http://dbpedia.org/resource/Scandia,_Kansas
58127;What music genre is Steve Swallow?;http://dbpedia.org/ontology/genre;http://dbpedia.org/resource/Steve_Swallow
07889;Which language is in the film anubhav;http://dbpedia.org/ontology/language;http://dbpedia.org/resource/Anubhav
02746;What kind of music does geoffrey chung play;http://dbpedia.org/ontology/genre;http://dbpedia.org/resource/Geoffrey_Chung
35357;in what genre does leon haywood perform in;http://dbpedia.org/ontology/genre;http://dbpedia.org/resource/Leon_Haywood
01620;Where is joey waronker from;http://dbpedia.org/ontology/hometown;http://dbpedia.org/resource/Joey_Waronker
23728;which town was boff whalley born;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Boff_Whalley
37025;who was the author of the work mostly harmless?;http://dbpedia.org/ontology/author;http://dbpedia.org/resource/Mostly_Harmless
54178;what kind of music does taj mahal play;http://dbpedia.org/ontology/genre;http://dbpedia.org/resource/Taj_Mahal_(musician)
57985;is black label society from los angeles or san diego;http://dbpedia.org/ontology/hometown;http://dbpedia.org/resource/Black_Label_Society
49642;what time zone is santiago jamiltepec in;http://dbpedia.org/ontology/timeZone;http://dbpedia.org/resource/Santiago_Jamiltepec
18008;Who is the writer of the adventures of tom sawyer;http://dbpedia.org/ontology/author;http://dbpedia.org/resource/The_Adventures_of_Tom_Sawyer_(musical)
14521;what was the genre of the album earwig;http://dbpedia.org/ontology/genre;http://dbpedia.org/resource/Earwig_(Blake_Babies_album)
13465;where did rick besoyan die?;http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/Rick_Besoyan
48791;where was eitetsu hayashi born;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Eitetsu_Hayashi
02458;Who is the lyricist that created alans psychedelic breakfast;http://dbpedia.org/ontology/writer;http://dbpedia.org/resource/Alan's_Psychedelic_Breakfast
34634;What language is crumb borne written in;http://dbpedia.org/ontology/language;http://dbpedia.org/resource/Crumb_Borne
16965;What city was charles w. lyon born in?;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Charles_W._Lyon
37727;what kind of music does rodrigo de la cadena make?;http://dbpedia.org/ontology/genre;http://dbpedia.org/resource/Rodrigo_de_la_Cadena
14021;What genre of music does stephaniemckay make?;http://dbpedia.org/ontology/genre;http://dbpedia.org/resource/Stephanie_McKay
23286;what type of music does the album belong to?;http://dbpedia.org/ontology/genre;http://dbpedia.org/resource/Best_Always
53781;what genre is the book armageddon in retrospect;http://dbpedia.org/ontology/literaryGenre;http://dbpedia.org/resource/Armageddon_in_Retrospect
31434;who produced the film nutcase;http://dbpedia.org/ontology/producer;http://dbpedia.org/resource/Nutcase_(film)
67980;what is sasa ivanovic's football position;http://dbpedia.org/ontology/position;http://dbpedia.org/resource/Saša_Ivanović
13658;where on earth did david h. mcnerney die;http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/David_H._McNerney
50192;who directed shakespeare in love;http://dbpedia.org/ontology/director;http://dbpedia.org/resource/Shakespeare_in_Love
67993;What soccer position does john mcphee play?;http://dbpedia.org/ontology/position;http://dbpedia.org/resource/John_McPhee_(footballer)
65547;what kind of game is a/x-101;http://dbpedia.org/ontology/genre;http://dbpedia.org/resource/A/X-101
12007;Where did molly brant die?;http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/Molly_Brant
16012;what is the cvg genre for the videogame pokemon rumble;http://dbpedia.org/ontology/genre;http://dbpedia.org/resource/Pokémon_Rumble
03071;which genre of music does a mark, a mission, a brand, a scar belong to?;http://dbpedia.org/ontology/genre;http://dbpedia.org/resource/A_Mark,_a_Mission,_a_Brand,_a_Scar
01080;What label did carmen record with;http://dbpedia.org/ontology/recordLabel;http://dbpedia.org/resource/Carmen_(band)
75375;what kind of music is the made in stoke 24/7/11 album;http://dbpedia.org/ontology/genre;http://dbpedia.org/resource/Made_in_Stoke_24/7/11
37964;which soccer position does clayton mcdonald play;http://dbpedia.org/ontology/position;http://dbpedia.org/resource/Clayton_McDonald
03058;what position does daniel pavlovic play in football;http://dbpedia.org/ontology/position;http://dbpedia.org/resource/Daniel_Pavlović
27414;what type of music is ebola;http://dbpedia.org/ontology/genre;http://dbpedia.org/resource/Ebola_(band)
02167;what position does dominik picak play for the NK Slaven Belupo;http://dbpedia.org/ontology/position;http://dbpedia.org/resource/Dominik_Picak
67660;what label is the artist  alter bridge from;http://dbpedia.org/ontology/recordLabel;http://dbpedia.org/resource/Alter_Bridge
34796;what kind of video game is freelancer?;http://dbpedia.org/ontology/genre;http://dbpedia.org/resource/Freelancer_(video_game)
47630;Where was ali al saadi born?;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Ali_Al_Saadi
14935;What kind of album is the barn sessions;http://dbpedia.org/ontology/genre;http://dbpedia.org/resource/The_Barn_Sessions
16359;what is  niall breslins birth place;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Niall_Breslin
37036;Where was bobsam elejiko born;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Bobsam_Elejiko
66218;which city did daniel webster jones die;http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/Daniel_Webster_Jones_(governor)
21243;what kind of music does wasted penguinz play?;http://dbpedia.org/ontology/genre;http://dbpedia.org/resource/Wasted_Penguinz
27902;What football position does tracy simien play?;http://dbpedia.org/ontology/position;http://dbpedia.org/resource/Tracy_Simien
66006;who wrote path of hope;http://dbpedia.org/ontology/writer;http://dbpedia.org/resource/Path_of_Hope
52551;What label did tift merritt  sign with;http://dbpedia.org/ontology/recordLabel;http://dbpedia.org/resource/Tift_Merritt
08784;where was barry simon born;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Barry_Simon_(politician)
58543;what position does jan blazek play;http://dbpedia.org/ontology/position;http://dbpedia.org/resource/Jan_Blažek
67768;What position does footballer jamie ness play?;http://dbpedia.org/ontology/position;http://dbpedia.org/resource/Jamie_Ness
73762;Which timezone in Marion in?;http://dbpedia.org/ontology/timeZone;http://dbpedia.org/resource/Marion,_Grant_County,_Wisconsin
70212;augspurger grist mill is located where?;http://dbpedia.org/ontology/location;http://dbpedia.org/resource/Augspurger_Grist_Mill
26033;where was adam bielan born;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Adam_Bielan
43741;who was the author of komarr;http://dbpedia.org/ontology/author;http://dbpedia.org/resource/Komarr
27972;Where in Russia was sergei salnikov born?;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Sergei_Salnikov
69390;who is the producer of the film chak de india;http://dbpedia.org/ontology/producer;http://dbpedia.org/resource/Chak_De!_India
64915;where was kristy hinze born;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Kristy_Hinze
59881;what is the label that david waxman is signed under;http://dbpedia.org/ontology/recordLabel;http://dbpedia.org/resource/David_Waxman
02517;what city in italy did  edmund sharpe pass away;http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/Edmund_Sharpe
09887;what genre of music does neon trees make;http://dbpedia.org/ontology/genre;http://dbpedia.org/resource/Neon_Trees
16287;What position does diyo sibisi play;http://dbpedia.org/ontology/position;http://dbpedia.org/resource/Diyo_Sibisi
37591;where is milly quezada originally from;http://dbpedia.org/ontology/hometown;http://dbpedia.org/resource/Milly_Quezada
38743;what position did stanislav Sestak play?;http://dbpedia.org/ontology/position;http://dbpedia.org/resource/Stanislav_Šesták
38233;What type of music genre is Big John Bates?;http://dbpedia.org/ontology/genre;http://dbpedia.org/resource/Big_John_Bates
